"","Missclassification.Rate","Precision","Sensitivity","Specificity","ROC"
"Logistic_Regression",0.23026012793177,0.522449940808695,0.84756936416185,0.744359095193214,0.871900888299292
"Random_Forest",0.182103766879886,0.631599484000335,0.623612716763006,0.881253534401508,0.840985594079094
