"","Missclassification.Rate","Precision","Sensitivity","Specificity","ROC"
"Logistic_Regression",0.246609808102345,0.501332628873747,0.78342774566474,0.743594721960415,0.837913006052748
"Random_Forest",0.197643923240938,0.607152774726377,0.556583815028902,0.88250424128181,0.81922884534712
